Site,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,TimeSinceFire,SkinkCount
BS,Unmined reference,1,1,2013.1,3,NA,152.1,33,21
BS,Unmined reference,1,2,2014.1,3,NA,143,34,12
BS,Unmined reference,1,3,2015.1,3,86.9,320.9,35,27
BS,Unmined reference,1,5,2017.1,3,86.6,190.8,37,36
BS,Unmined reference,1,6,2018.1,3,91.9,181.8,38,20
BS,Unmined reference,1,7,2019.1,3,91.63333333,369.2,39,27
BS,Unmined reference,1,8,2020,3,93.9,92,40,32
BS,Unmined reference,1,9,2021.1,3,94.2,246.5,1,11
BS,Unmined reference,1,10,2022.2,3,95.96666667,560.1,2,11
CW,Mined,2,2,2014.1,7,NA,143,34,10
CW,Mined,2,3,2015.1,7,68.16666667,320.9,35,3
CW,Mined,2,4,2016.1,7,38.56666667,291,36,8
CW,Mined,2,5,2017.1,7,45.56666667,190.8,37,9
CW,Mined,2,6,2018.1,7,36.8,181.8,38,3
CW,Mined,2,7,2019.1,7,39.93333333,369.2,39,3
CW,Mined,2,8,2020,7,20.13333333,92,40,0
CW,Mined,2,9,2021.1,7,24.8,246.5,1,0
CW,Mined,2,10,2022.2,7,18.8,560.1,2,0
GGE,Mined,2,2,2014.1,7,NA,143,1,6
GGE,Mined,2,3,2015.1,7,89.6,320.9,2,13
GGE,Mined,2,5,2017.1,7,79.23333333,190.8,4,17
GGE,Mined,2,6,2018.1,7,73.3,181.8,5,11
GGE,Mined,2,7,2019.1,7,36.43333333,369.2,6,5
GGE,Mined,2,8,2020,7,13.53333333,92,7,5
GGE,Mined,2,9,2021.1,7,25.67,246.5,1,0
GGE,Mined,2,10,2022.2,7,20.86666667,560.1,2,0
GGW,Mined,2,2,2014.1,7,NA,143,1,5
GGW,Mined,2,3,2015.1,7,90.9,320.9,2,4
GGW,Mined,2,4,2016.1,7,76.26666667,291,3,2
GGW,Mined,2,5,2017.1,7,43.93333333,190.8,4,4
GGW,Mined,2,6,2018.1,7,19.86666667,181.8,5,4
GGW,Mined,2,7,2019.1,7,29.73333333,369.2,6,2
GGW,Mined,2,8,2020,7,10.26666667,92,7,1
GGW,Mined,2,9,2021.1,7,24.47,246.5,1,1
GGW,Mined,2,10,2022.2,7,15.73333333,560.1,2,0
HV,Unmined reference,1,1,2013.1,3,NA,152.1,0,11
HV,Unmined reference,1,2,2014.1,3,NA,143,1,7
HV,Unmined reference,1,3,2015.1,3,91.16666667,320.9,2,12
HV,Unmined reference,1,5,2017.1,3,74.43333333,190.8,4,19
HV,Unmined reference,1,6,2018.1,3,90.8,181.8,5,8
HV,Unmined reference,1,7,2019.1,3,93.03333333,369.2,6,21
HV,Unmined reference,1,8,2020,3,91.26666667,92,7,18
HV,Unmined reference,1,9,2021.1,3,91.97,246.5,1,16
HV,Unmined reference,1,10,2022.2,3,95.23333333,560.1,2,6
SS,Unmined reference,1,3,2015.1,3,95.26666667,320.9,35,19
SS,Unmined reference,1,5,2017.1,3,93.63333333,190.8,37,24
SS,Unmined reference,1,6,2018.1,3,90.13333333,181.8,38,32
SS,Unmined reference,1,7,2019.1,3,92.56666667,369.2,39,20
SS,Unmined reference,1,8,2020,3,92.26666667,92,40,6
SS,Unmined reference,1,9,2021.1,3,92.23,246.5,1,16
SS,Unmined reference,1,10,2022.2,3,86.5,560.1,2,7
